No,Code,Company Name,Listing Date,Shares,Listing Board
260,KRAS,Krakatau Steel (Persero) Tbk.,10 Nov 2010,"19,346,396,900",Development
261,KREN,Quantum Clovera Investama Tbk.,28 Jun 2002,"18,208,470,100",Watchlist
262,LAPD,Leyand International Tbk.,17 Jul 2001,"3,966,350,139",Development
263,LCGP,Eureka Prima Jakarta Tbk.,13 Jul 2007,"5,630,000,914",Watchlist
264,LEAD,Logindo Samudramakmur Tbk.,11 Dec 2013,"5,799,616,328",Development
265,LINK,Link Net Tbk.,02 Jun 2014,"2,863,195,484",Development
266,LION,Lion Metal Works Tbk.,20 Agt 1993,"520,160,000",Development
267,LMAS,Limas Indonesia Makmur Tbk,28 Dec 2001,"787,851,525",Watchlist
268,LMPI,Langgeng Makmur Industri Tbk.,17 Oct 1994,"1,008,517,669",Development
269,LMSH,Lionmesh Prima Tbk.,04 Jun 1990,"96,000,000",Watchlist
270,LPCK,Lippo Cikarang Tbk,24 Jul 1997,"5,134,685,692",Development
271,LPGI,Lippo General Insurance Tbk.,22 Jul 1997,"3,000,000,000",Development
272,LPIN,Multi Prima Sejahtera Tbk,05 Feb 1990,"425,000,000",Development
273,LPKR,Lippo Karawaci Tbk.,28 Jun 1996,"70,898,018,369",Main
274,LPLI,Star Pacific Tbk,23 Oct 1989,"1,170,432,803",Development
275,LPPF,MDS Retailing Tbk.,09 Oct 1989,"2,258,279,280",Main
276,LPPS,Lenox Pasifik Investama Tbk.,28 Mar 1994,"2,588,250,000",Development
277,LRNA,Eka Sari Lorena Transport Tbk.,15 Apr 2014,"350,000,022",Development
278,LSIP,PP London Sumatra Indonesia Tb,05 Jul 1996,"6,819,963,965",Main
279,LTLS,Lautan Luas Tbk.,21 Jul 1997,"1,560,000,000",Main
280,MAGP,Multi Agro Gemilang Plantation,16 Jan 2013,"9,000,000,004",Watchlist
281,MAIN,Malindo Feedmill Tbk.,10 Feb 2006,"2,238,750,000",Main
282,MAPI,Mitra Adiperkasa Tbk.,10 Nov 2004,"16,600,000,000",Main
283,MAYA,Bank Mayapada Internasional Tb,29 Agt 1997,"25,906,179,152",Main
284,MBAP,Mitrabara Adiperdana Tbk.,10 Jul 2014,"1,227,271,952",Development
285,MBSS,Mitrabahtera Segara Sejati Tbk,06 Apr 2011,"1,750,026,639",Main
286,MBTO,Martina Berto Tbk.,13 Jan 2011,"1,070,000,000",Development
287,MCOR,Bank China Construction Bank I,03 Jul 2007,"37,540,533,209",Main
288,MDIA,Intermedia Capital Tbk.,11 Apr 2014,"39,215,538,400",Development
289,MDKA,Merdeka Copper Gold Tbk.,19 Jun 2015,"24,472,983,771",Main
290,MDLN,Modernland Realty Tbk.,18 Jan 1993,"12,533,067,322",Development
291,MDRN,Modern Internasional Tbk.,16 Jul 1991,"7,632,167,798",Watchlist
292,MEDC,Medco Energi Internasional Tbk,12 Oct 1994,"25,136,231,252",Main
293,MEGA,Bank Mega Tbk.,17 Apr 2000,"23,247,028,262",Main
294,MERK,Merck Tbk.,23 Jul 1981,"448,000,000",Development
295,META,Nusantara Infrastructure Tbk.,18 Jul 2001,"17,710,708,194",Development
296,MFMI,Multifiling Mitra Indonesia Tb,29 Dec 2010,"757,581,000",Watchlist
297,MGNA,Magna Investama Mandiri Tbk.,08 Jul 2014,"3,411,046,026",Development
298,MICE,Multi Indocitra Tbk.,21 Dec 2005,"600,000,000",Development
299,MIDI,Midi Utama Indonesia Tbk.,30 Nov 2010,"33,435,294,800",Main
300,MIKA,Mitra Keluarga Karyasehat Tbk.,24 Mar 2015,"13,907,481,500",Main
301,MIRA,Mitra International Resources ,30 Jan 1997,"3,961,452,039",Watchlist
302,MITI,Mitra Investindo Tbk.,16 Jul 1997,"3,750,526,603",Development
303,MKPI,Metropolitan Kentjana Tbk.,10 Jul 2009,"948,194,000",Development
304,MLBI,Multi Bintang Indonesia Tbk.,15 Dec 1981,"2,107,000,000",Main
305,MLIA,Mulia Industrindo Tbk,17 Jan 1994,"6,615,000,000",Watchlist
306,MLPL,Multipolar Tbk.,06 Nov 1989,"15,682,323,987",Main
307,MLPT,Multipolar Technology Tbk.,08 Jul 2013,"1,875,000,000",Development
308,MMLP,Mega Manunggal Property Tbk.,12 Jun 2015,"6,889,134,608",Main
309,MNCN,Media Nusantara Citra Tbk.,22 Jun 2007,"15,049,787,710",Main
310,MPMX,Mitra Pinasthika Mustika Tbk.,29 May 2013,"4,386,963,276",Main
311,MPPA,Matahari Putra Prima Tbk.,21 Dec 1992,"12,966,640,084",Watchlist
312,MRAT,Mustika Ratu Tbk.,27 Jul 1995,"428,000,000",Development
313,MREI,Maskapai Reasuransi Indonesia ,04 Sep 1989,"517,791,681",Main
314,MSKY,MNC Sky Vision Tbk.,09 Jul 2012,"1,994,370,480",Development
315,MTDL,Metrodata Electronics Tbk.,09 Apr 1990,"12,276,884,585",Main
316,MTFN,Capitalinc Investment Tbk.,16 Apr 1990,"31,842,082,852",Watchlist
317,MTLA,Metropolitan Land Tbk.,20 Jun 2011,"7,655,126,330",Main
318,MTSM,Metro Realty Tbk.,08 Jan 1992,"232,848,000",Watchlist
